time_window,molecule,ae_term,n_studies,events_total,n_total,rate,rate_pct,events_source
session,MDMA,xerostomia,3,16.0502,101,0.15891287128712872,15.891287128712872,row-wise preference: absolute_events else events
session,MDMA,genitourinary,1,7.0012,46,0.1522,15.22,row-wise preference: absolute_events else events
session,MDMA,ophthalmological,3,14.8804,101,0.14733069306930693,14.733069306930693,row-wise preference: absolute_events else events
session,MDMA,drowsiness,1,1,8,0.125,12.5,row-wise preference: absolute_events else events
session,MDMA,impaired gait/balance,1,1,8,0.125,12.5,row-wise preference: absolute_events else events
session,MDMA,pain,5,14.2537,120,0.11878083333333334,11.878083333333333,row-wise preference: absolute_events else events
session,MDMA,weakness,3,7.470000000000001,63,0.11857142857142858,11.857142857142858,row-wise preference: absolute_events else events
session,MDMA,rumination,6,19.348999999999997,178,0.10870224719101122,10.870224719101122,row-wise preference: absolute_events else events
session,MDMA,dissociation,3,8.0269,112,0.07166874999999999,7.166874999999999,row-wise preference: absolute_events else events
session,MDMA,irritability,5,9.981,141,0.07078723404255319,7.078723404255319,row-wise preference: absolute_events else events
session,MDMA,infectious,1,0.48,12,0.04,4,row-wise preference: absolute_events else events
session,PSILOCYBIN,mood altered/lability,1,99,160,0.61875,61.875,row-wise preference: absolute_events else events
session,PSILOCYBIN,vivid imagination,1,89,160,0.55625,55.625,row-wise preference: absolute_events else events
session,PSILOCYBIN,hypertension,4,115,252,0.45634920634920634,45.63492063492063,row-wise preference: absolute_events else events
session,PSILOCYBIN,headache,9,239.05,530,0.4510377358490566,45.10377358490566,row-wise preference: absolute_events else events
session,PSILOCYBIN,illusion,3,101,258,0.39147286821705424,39.14728682170542,row-wise preference: absolute_events else events
session,PSILOCYBIN,nausea,8,130.05,504,0.2580357142857143,25.80357142857143,row-wise preference: absolute_events else events
session,PSILOCYBIN,dissociation,1,35,160,0.21875,21.875,row-wise preference: absolute_events else events
session,PSILOCYBIN,pseudohallucination,1,33,160,0.20625,20.625,row-wise preference: absolute_events else events
session,PSILOCYBIN,anxiety,5,66,421,0.15676959619952494,15.676959619952493,row-wise preference: absolute_events else events
session,PSILOCYBIN,temperature perception disturbances,2,26,186,0.13978494623655913,13.978494623655912,row-wise preference: absolute_events else events
session,PSILOCYBIN,synaesthesia,1,20,160,0.125,12.5,row-wise preference: absolute_events else events
session,PSILOCYBIN,fatigue,5,50,412,0.12135922330097088,12.135922330097088,row-wise preference: absolute_events else events
session,PSILOCYBIN,perspiration,1,19,160,0.11875,11.875,row-wise preference: absolute_events else events
session,PSILOCYBIN,dizziness,5,42,408,0.10294117647058823,10.294117647058822,row-wise preference: absolute_events else events
session,PSILOCYBIN,paresthesia,2,30,314,0.09554140127388536,9.554140127388536,row-wise preference: absolute_events else events
session,PSILOCYBIN,sleep disorder,4,24,252,0.09523809523809523,9.523809523809524,row-wise preference: absolute_events else events
session,PSILOCYBIN,tachycardia,2,14.95,175,0.08542857142857142,8.542857142857143,row-wise preference: absolute_events else events
session,PSILOCYBIN,confusion,1,12,160,0.075,7.5,row-wise preference: absolute_events else events
session,PSILOCYBIN,abdominal pain,3,26,362,0.0718232044198895,7.18232044198895,row-wise preference: absolute_events else events
session,PSILOCYBIN,mood altered,1,11,154,0.07142857142857142,7.142857142857142,row-wise preference: absolute_events else events
session,PSILOCYBIN,restlessness,3,17,238,0.07142857142857142,7.142857142857142,row-wise preference: absolute_events else events
session,PSILOCYBIN,insomnia,1,11,160,0.06875,6.875000000000001,row-wise preference: absolute_events else events
session,PSILOCYBIN,thinking abnornal,1,11,160,0.06875,6.875000000000001,row-wise preference: absolute_events else events
session,PSILOCYBIN,tremor,1,11,160,0.06875,6.875000000000001,row-wise preference: absolute_events else events
session,PSILOCYBIN,physical pain,2,12,178,0.06741573033707865,6.741573033707865,row-wise preference: absolute_events else events
