time_window,molecule,study_id,ae_term,n_arms,events_total,n_total,rate,rate_pct
session,LSD,Robison2025,hypertension,4,0.402,159,0.002528301886792453,0.2528301886792453
session,LSD,Robison2025,illusion,4,2.108,159,0.013257861635220126,1.3257861635220125
session,LSD,Robison2025,lack of appetite,4,0.101,159,6.352201257861635e-4,0.06352201257861635
session,LSD,Robison2025,nausea,4,1.3519999999999999,159,0.00850314465408805,0.850314465408805
session,LSD,Robison2025,paresthesia,4,0.351,159,0.0022075471698113206,0.22075471698113205
session,LSD,Robison2025,perspiration,4,0.476,159,0.002993710691823899,0.2993710691823899
session,LSD,Robison2025,pseudohallucination,4,0.25,159,0.0015723270440251573,0.15723270440251574
session,LSD,Robison2025,temperature perception disturbances,4,0.125,159,7.861635220125787e-4,0.07861635220125787
session,LSD,Robison2025,thinking abnormal,4,0.30100000000000005,159,0.0018930817610062897,0.18930817610062897
session,MDMA,Maples2022,anxiety,1,0.176,17,0.010352941176470587,1.0352941176470587
session,MDMA,Maples2022,headache,1,0.118,17,0.006941176470588235,0.6941176470588235
session,MDMA,Mitchell2021,anxiety,1,0.3261,46,0.007089130434782609,0.7089130434782609
session,MDMA,Mitchell2021,autonomic,1,0.3261,46,0.007089130434782609,0.7089130434782609
session,MDMA,Mitchell2021,depression,1,0.1522,46,0.003308695652173913,0.3308695652173913
session,MDMA,Mitchell2021,dissociation,1,0.0652,46,0.0014173913043478259,0.1417391304347826
session,MDMA,Mitchell2021,dizziness,1,0.1957,46,0.004254347826086957,0.4254347826086957
session,MDMA,Mitchell2021,fatigue,1,0.3043,46,0.006615217391304348,0.6615217391304348
session,MDMA,Mitchell2021,genitourinary,1,0.1522,46,0.003308695652173913,0.3308695652173913
session,MDMA,Mitchell2021,headache,1,0.7174,46,0.015595652173913043,1.5595652173913044
session,MDMA,Mitchell2021,irritability,1,0.0435,46,9.456521739130434e-4,0.09456521739130434
session,MDMA,Mitchell2021,jaw tension,1,0.1304,46,0.0028347826086956517,0.2834782608695652
session,MDMA,Mitchell2021,lack of appetite,1,0.5217,46,0.011341304347826087,1.1341304347826087
session,MDMA,Mitchell2021,muscle tension,1,0.6087,46,0.013232608695652175,1.3232608695652175
session,MDMA,Mitchell2021,nausea,1,0.3043,46,0.006615217391304348,0.6615217391304348
session,MDMA,Mitchell2021,ophthalmological,1,0.2174,46,0.004726086956521739,0.47260869565217395
session,MDMA,Mitchell2021,pain,1,0.174,46,0.0037826086956521737,0.3782608695652174
session,MDMA,Mitchell2021,perspiration,1,0.2174,46,0.004726086956521739,0.47260869565217395
session,MDMA,Mitchell2021,restlessness,1,0.1522,46,0.003308695652173913,0.3308695652173913
session,MDMA,Mitchell2021,rumination,1,0.087,46,0.0018913043478260868,0.1891304347826087
session,MDMA,Mitchell2021,sleep disorder,1,0.4348,46,0.009452173913043479,0.9452173913043479
session,MDMA,Mitchell2021,suicidality,1,0.4565,46,0.00992391304347826,0.9923913043478261
session,MDMA,Mitchell2021,xerostomia,1,0.1087,46,0.0023630434782608697,0.23630434782608697
session,MDMA,Mitchell2023,anxiety,1,0.34,53,0.006415094339622642,0.6415094339622642
session,MDMA,Mitchell2023,depression,1,0.151,53,0.002849056603773585,0.2849056603773585
session,MDMA,Mitchell2023,dissociation,1,0.076,53,0.0014339622641509433,0.14339622641509434
session,MDMA,Mitchell2023,irritability,1,0.057,53,0.0010754716981132076,0.10754716981132076
